striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
PWH de Silva,72,687,570,223,216,58,2,68,12,53.0,12.96,120.53,0.14
KD Karthik,47,686,481,201,173,29,1,71,28,24.0,28.58,142.62,0.21
KD Shah,43,684,641,286,252,58,4,52,16,34.0,20.12,106.71,0.11
P Molkenboer,45,683,731,405,229,50,6,84,0,32.0,21.34,93.43,0.11
T Bharaj,30,681,563,252,184,69,7,59,17,26.0,26.19,120.96,0.13
RD Rickelton,28,680,465,184,166,36,2,52,38,25.0,27.2,146.24,0.19
AA Obanda,37,678,567,310,140,34,0,83,23,34.0,19.94,119.58,0.19
B Arora,39,676,704,440,227,46,1,63,17,30.0,22.53,96.02,0.11
SJ Baard,27,675,598,257,220,46,9,57,18,23.0,29.35,112.88,0.13
L Yamamoto-Lake,38,675,527,278,142,47,4,68,25,34.0,19.85,128.08,0.18
CK Kapugedera,36,675,571,248,216,44,1,56,24,30.0,22.5,118.21,0.14
D Brevis,27,674,408,172,138,30,0,38,54,25.0,26.96,165.2,0.23
C Chatphaisan,51,673,651,359,183,57,2,61,21,46.0,14.63,103.38,0.13
NR Kumar,31,673,533,202,212,49,7,48,25,27.0,24.93,126.27,0.14
SM Mayers,27,673,684,345,231,43,4,77,6,24.0,28.04,98.39,0.12
IDM Latin,30,672,519,220,193,35,1,58,29,25.0,26.88,129.48,0.17
H Carlyon,36,671,553,262,181,33,4,67,24,35.0,19.17,121.34,0.16
R Mazumder,28,671,586,284,211,48,2,76,9,21.0,31.95,114.51,0.15
RL Haynes,39,671,531,168,256,45,3,64,10,20.0,33.55,126.37,0.14
T Bavuma,35,670,567,225,219,49,3,62,16,32.0,20.94,118.17,0.14
HASD Siriwardene,46,667,761,378,303,50,0,57,6,39.0,17.1,87.65,0.08
A Lister,47,664,571,280,169,41,5,83,11,41.0,16.2,116.29,0.16
P Alako,52,664,746,431,209,50,1,61,18,38.0,17.47,89.01,0.11
ZE Green,51,663,608,259,243,56,2,56,13,37.0,17.92,109.05,0.11
E Iloku,46,662,926,562,272,67,4,61,0,39.0,16.97,71.49,0.07
LJ Wright,43,660,499,211,170,47,2,60,25,40.0,16.5,132.26,0.17
C Rububagumya,61,660,791,423,273,70,6,41,10,47.0,14.04,83.44,0.06
L Siaka,48,659,577,277,176,59,9,53,21,42.0,15.69,114.21,0.13
PBB Rajapaksa,37,657,513,219,182,42,3,52,29,30.0,21.9,128.07,0.16
Wan Julia,59,656,925,581,271,68,11,54,0,55.0,11.93,70.92,0.06
KJ Stagno,24,656,370,157,114,21,0,41,56,23.0,28.52,177.3,0.26
Maryam Omar,37,654,834,479,272,59,2,63,1,28.0,23.36,78.42,0.08
YBK Jaiswal,20,651,400,172,111,20,0,77,32,18.0,36.17,162.75,0.27
Junaid Aziz,44,649,617,300,231,36,0,40,31,30.0,21.63,105.19,0.12
GE Plimmer,42,649,610,278,231,38,6,66,10,36.0,18.03,106.39,0.12
D Doyle-Calle,29,647,488,207,175,35,6,45,34,23.0,28.13,132.58,0.16
Siow Tzin Yee,37,647,698,375,216,69,7,68,0,25.0,25.88,92.69,0.1
Shanzeen Shahzad,59,643,868,540,264,57,3,55,6,50.0,12.86,74.08,0.07
TB Robinson,26,642,471,197,160,42,8,56,25,23.0,27.91,136.31,0.17
DJM Short,23,642,540,237,200,31,2,71,15,19.0,33.79,118.89,0.16
Rohan Mustafa,41,641,577,282,206,36,5,66,14,38.0,16.87,111.09,0.14
Hamza Dar,26,640,429,180,152,50,0,40,38,16.0,40.0,149.18,0.18
R Chopra,32,638,552,236,223,37,3,47,24,26.0,24.54,115.58,0.13
Yasir Ali,33,638,636,306,245,44,1,50,17,27.0,23.63,100.31,0.11
C Green,25,635,418,166,154,33,1,49,36,21.0,30.24,151.91,0.2
Adil Butt,20,635,379,182,78,24,3,68,38,18.0,35.28,167.55,0.28
Gulsan Jha,42,634,451,197,170,25,2,33,46,29.0,21.86,140.58,0.18
RD Gaikwad,19,633,441,171,177,23,2,65,24,15.0,42.2,143.54,0.2
Umar Adam,35,632,463,227,126,37,2,51,37,33.0,19.15,136.5,0.19
Muhammad Muneeb,27,632,512,293,152,32,0,77,18,26.0,24.31,123.44,0.19
JH Kallis,22,632,525,199,216,39,2,56,18,17.0,37.18,120.38,0.14
Ravinderpal Singh,33,631,444,178,164,38,1,43,36,26.0,24.27,142.12,0.18
WG Jacks,34,630,428,177,147,35,1,59,29,28.0,22.5,147.2,0.21
RM Dorji,37,628,585,286,215,34,3,45,26,33.0,19.03,107.35,0.12
Anjar Tadarus,57,626,712,432,215,36,1,63,14,47.0,13.32,87.92,0.11
OH Agbomadzie,34,626,646,353,217,61,5,47,14,27.0,23.19,96.9,0.09
R Obuya,34,624,524,262,140,44,6,54,27,31.0,20.13,119.08,0.15
Rumana Ahmed,51,623,673,320,262,47,1,60,4,36.0,17.31,92.57,0.1
B George,27,620,484,245,155,39,3,41,34,24.0,25.83,128.1,0.15
T Ruma,28,619,672,380,218,46,5,54,13,20.0,30.95,92.11,0.1
R Andrew,26,616,632,330,212,48,2,68,5,20.0,30.8,97.47,0.12
ST Jayasuriya,28,615,470,248,119,29,2,75,22,26.0,23.65,130.85,0.21
Puja Mahato,39,613,736,389,277,51,4,48,5,32.0,19.16,83.29,0.07
Naseem Khushi,34,612,372,151,121,25,1,39,47,31.0,19.74,164.52,0.23
WK Dilhari,57,611,578,244,223,55,6,59,4,41.0,14.9,105.71,0.11
Zeeshan Kukikhel,22,611,418,197,123,24,1,69,26,22.0,27.77,146.17,0.23
S Singh,41,607,617,322,180,66,1,70,2,33.0,18.39,98.38,0.12
I Takahashi,42,607,447,197,144,37,3,47,32,32.0,18.97,135.79,0.18
J Mees,30,606,507,240,171,38,5,53,22,25.0,24.24,119.53,0.15
NLKWR Dewi,29,604,583,295,201,72,5,61,0,19.0,31.79,103.6,0.1
D Wiese,37,601,453,171,186,44,3,33,31,23.0,26.13,132.67,0.14
A Dizija,27,601,516,293,140,45,1,56,24,25.0,24.04,116.47,0.16
SA Ahmad,30,601,561,269,196,52,1,55,13,27.0,22.26,107.13,0.12
C Madande,36,599,506,221,176,51,5,48,19,25.0,23.96,118.38,0.13
Lakshit Gupta,28,597,562,290,207,24,0,48,25,23.0,25.96,106.23,0.13
TWM Latham,26,597,545,219,235,46,0,51,11,21.0,28.43,109.54,0.11
S Sunday,38,597,644,387,160,50,3,73,6,32.0,18.66,92.7,0.12
TLW Cooper,29,592,466,184,184,25,6,58,18,24.0,24.67,127.04,0.16
PA Chatterji,53,592,620,288,247,39,3,57,5,37.0,16.0,95.48,0.1
RK Singh,34,590,411,179,148,21,0,52,32,21.0,28.1,143.55,0.2
CN Ackermann,29,590,507,186,230,49,2,43,14,24.0,24.58,116.37,0.11
Saqlain Arshad,35,589,464,230,126,30,3,73,17,33.0,17.85,126.94,0.19
N Vanua,37,588,451,204,160,47,2,28,36,30.0,19.6,130.38,0.14
NJ Pius,40,587,714,419,202,64,5,59,1,30.0,19.57,82.21,0.08
F Damiao Couana,18,587,429,207,125,40,1,62,21,16.0,36.69,136.83,0.19
Priyada Murali,46,586,861,578,229,41,1,59,6,40.0,14.65,68.06,0.08
PD Collingwood,33,583,459,163,200,39,3,38,24,30.0,19.43,127.02,0.14
DR Smith,32,582,474,260,114,17,0,62,31,30.0,19.4,122.78,0.2
D Abeyrathna,32,582,601,322,208,36,3,51,14,28.0,20.79,96.84,0.11
N Choden,34,581,817,548,222,50,5,58,2,30.0,19.37,71.11,0.07
DJG Sammy,49,581,388,163,133,39,0,46,31,32.0,18.16,149.74,0.2
M Yanagida,38,581,717,427,219,64,5,49,3,29.0,20.03,81.03,0.07
H Singh,33,581,459,169,193,34,2,56,15,26.0,22.35,126.58,0.15
PHKD Mendis,36,581,464,207,170,36,1,48,24,34.0,17.09,125.22,0.16
K Waiswa,47,579,571,304,164,45,7,55,14,36.0,16.08,101.4,0.12
D Visser,17,578,384,168,114,21,2,56,32,14.0,41.29,150.52,0.23
SB Styris,29,578,483,196,197,34,1,40,25,26.0,22.23,119.67,0.13
Saim Hussain,16,577,389,172,123,48,0,52,25,14.0,41.21,148.33,0.2
BA Stokes,34,576,445,161,189,41,3,41,22,25.0,23.04,129.44,0.14
V Ravindran,19,575,395,198,116,27,1,66,23,18.0,31.94,145.57,0.23
L Barnett,14,575,377,169,114,35,1,82,10,8.0,71.88,152.52,0.24
M Corazon,25,574,483,255,128,38,0,79,9,20.0,28.7,118.84,0.18
D Ramdin,46,574,481,199,204,30,2,49,18,31.0,18.52,119.33,0.14
A Mansale,26,572,489,200,191,43,9,37,20,23.0,24.87,116.97,0.12
A Ashokan,22,572,498,209,206,58,2,28,22,15.0,38.13,114.86,0.1
D Dhingra,34,571,627,346,187,62,12,56,0,28.0,20.39,91.07,0.09
Waji Ul Hassan,28,571,470,172,218,29,1,40,22,23.0,24.83,121.49,0.13
Hamza Khan,25,566,544,251,222,28,0,42,20,20.0,28.3,104.04,0.11
GM Harris,33,566,361,124,141,22,1,57,25,20.0,28.3,156.79,0.23
EAJ Richardson,40,565,545,259,183,48,2,64,4,31.0,18.23,103.67,0.12
AS Samra,23,564,407,173,132,41,2,44,28,17.0,33.18,138.57,0.18
RW Chakabva,44,563,467,228,165,25,2,51,23,43.0,13.09,120.56,0.16
Fatima Sana,33,563,431,174,171,28,0,57,18,19.0,29.63,130.63,0.17
Aarif Sheikh,37,562,508,216,205,30,3,54,12,27.0,20.81,110.63,0.13
B Ward,30,561,439,182,156,47,1,32,30,22.0,25.5,127.79,0.14
Sana Mir,52,560,762,373,324,41,2,37,0,32.0,17.5,73.49,0.05
CA Henry,54,559,585,282,228,37,3,44,12,34.0,16.44,95.56,0.1
TS Fray,35,559,614,306,224,44,3,45,8,31.0,18.03,91.04,0.09
PM Seelaar,40,557,504,198,207,56,4,40,11,28.0,19.89,110.52,0.1
T Perera,31,555,535,273,161,35,4,54,16,23.0,24.13,103.74,0.13
P Litchfield,28,554,400,160,137,29,1,71,12,20.0,27.7,138.5,0.21
SR Bhudia,35,554,455,183,181,36,1,49,17,25.0,22.16,121.76,0.15
D Myers,29,553,434,169,172,32,2,51,17,26.0,21.27,127.42,0.16
KJ Garth,32,552,654,321,258,50,2,44,2,21.0,26.29,84.4,0.07
MJ Lumb,27,552,413,203,101,30,3,64,21,26.0,21.23,133.66,0.21
Vinu Kumar,40,552,751,465,259,55,5,42,0,30.0,18.4,73.5,0.06
M Podosky,32,551,496,266,135,34,0,45,28,28.0,19.68,111.09,0.15
JA Morkel,36,549,385,149,153,26,1,27,38,24.0,22.88,142.6,0.17
Faheem Ashraf,55,549,394,166,137,33,4,37,31,38.0,14.45,139.34,0.17
GK Diviya,42,548,877,574,260,61,2,40,0,33.0,16.61,62.49,0.05
Haider Ali,42,548,440,187,171,27,0,45,23,36.0,15.22,124.55,0.15
Kycia A Knight,41,546,630,317,237,43,3,43,7,29.0,18.83,86.67,0.08
Erika Oda,30,546,591,330,185,33,3,70,1,26.0,21.0,92.39,0.12
L Jack,46,546,643,341,216,63,4,48,0,34.0,16.06,84.91,0.07
AR Naidoo,26,544,527,261,192,37,4,44,15,20.0,27.2,103.23,0.11
C Roberts,21,543,513,178,258,38,3,44,4,15.0,36.2,105.85,0.09
Ayan Khan,34,540,506,221,210,51,0,33,16,29.0,18.62,106.72,0.1
MR Swart,20,539,461,178,199,32,4,45,14,18.0,29.94,116.92,0.13
IA De Silva,24,539,502,306,147,26,0,52,22,22.0,24.5,107.37,0.15
AJ Mosca,20,539,414,148,172,35,2,40,21,15.0,35.93,130.19,0.15
Raghav Dhawan,20,539,499,222,184,49,1,41,15,17.0,31.71,108.02,0.11
HM Omary,43,539,615,312,240,39,3,47,4,29.0,18.59,87.64,0.08
D Kansonkho,35,538,585,327,196,37,4,46,12,28.0,19.21,91.97,0.1
PA Raikes,19,537,412,184,142,31,1,48,23,16.0,33.56,130.34,0.17
CN Nation,40,537,606,319,189,63,4,39,9,30.0,17.9,88.61,0.08
Parvez Hossain Emon,27,537,408,216,111,18,0,45,35,25.0,21.48,131.62,0.2
KC D'Souza,24,535,339,145,106,38,1,32,37,17.0,31.47,157.82,0.2
Dylan Steyn,19,535,399,175,141,36,6,64,8,14.0,38.21,134.09,0.18
Zon Lin,27,533,578,314,173,58,2,52,5,21.0,25.38,92.21,0.1
G Stewart,21,532,332,152,98,12,2,35,44,19.0,28.0,160.24,0.24
RE van der Merwe,42,532,419,142,181,49,1,40,15,27.0,19.7,126.97,0.13
G Matome,46,531,738,507,193,61,4,51,0,28.0,18.96,71.95,0.07
Aman Desai,33,531,455,219,159,33,5,49,15,30.0,17.7,116.7,0.14
Zeefa Jilani,42,530,648,410,167,35,1,59,9,35.0,15.14,81.79,0.1
AJ Blackwell,36,529,591,218,306,40,1,35,0,22.0,24.05,89.51,0.06
M Coetzee,29,528,406,176,134,19,0,71,12,26.0,20.31,130.05,0.2
BM Duckett,21,527,344,104,144,28,1,69,8,19.0,27.74,153.2,0.22
Tenjin Rabgey,35,526,600,351,190,32,4,44,14,32.0,16.44,87.67,0.1
Mahirah Izzati Ismail,52,526,782,461,281,44,3,37,0,43.0,12.23,67.26,0.05
C Kieswetter,24,526,464,239,132,31,2,47,23,22.0,23.91,113.36,0.15
T Chetty,38,525,620,290,262,36,0,45,1,32.0,16.41,84.68,0.07
T Jamtsho,39,524,458,233,157,14,1,45,26,34.0,15.41,114.41,0.16
YS Samra,17,524,330,139,111,19,1,48,30,14.0,37.43,158.79,0.24
KH Brunt,47,523,450,159,197,49,2,42,9,26.0,20.12,116.22,0.11
T Nightingale,28,523,410,168,151,32,2,47,19,26.0,20.12,127.56,0.16
SO Ngoche,50,523,453,202,168,39,1,43,17,32.0,16.34,115.45,0.13
M Gogev,18,523,343,178,87,29,0,42,35,17.0,30.76,152.48,0.22
A Sharma,27,522,483,249,143,36,1,55,14,25.0,20.88,108.07,0.14
Abbas Ghani,21,522,340,145,108,24,2,51,26,20.0,26.1,153.53,0.23
SSM Stanislaus,29,521,501,251,181,36,0,37,20,26.0,20.04,103.99,0.11
F Behardien,30,518,404,130,193,39,1,37,16,16.0,32.38,128.22,0.13
E Beukes,32,517,413,185,169,11,0,32,33,20.0,25.85,125.18,0.16
WAE Burton,27,515,357,197,91,11,0,54,31,23.0,22.39,144.26,0.24
Mohammad Haris,28,515,364,151,125,27,0,45,26,26.0,19.81,141.48,0.2
BM Halliday,42,515,524,224,203,59,6,41,2,34.0,15.15,98.28,0.08
DC Smith,30,514,441,198,152,33,0,47,18,27.0,19.04,116.55,0.15
M Syahadat Ramli,35,514,468,195,199,29,1,35,19,22.0,23.36,109.83,0.12
Ahmed Aqeel,27,513,423,152,191,47,2,27,19,16.0,32.06,121.28,0.11
Arjun Vinod,25,513,466,234,156,45,3,45,13,19.0,27.0,110.09,0.12
MJ Richardson,24,513,495,215,195,44,4,47,5,17.0,30.18,103.64,0.11
CJ Chibhabha,26,512,443,217,143,26,1,59,13,26.0,19.69,115.58,0.16
Fiza,29,512,583,336,199,44,3,54,0,22.0,23.27,87.82,0.09
Jaspal Singh,34,509,466,253,135,35,2,40,23,25.0,20.36,109.23,0.14
M Taylor,28,508,535,352,138,22,0,47,23,27.0,18.81,94.95,0.13
RA Jadeja,38,508,400,139,189,40,1,38,14,22.0,23.09,127.0,0.13
MN Waller,23,507,361,124,155,32,0,36,24,19.0,26.68,140.44,0.17
M van Lingen,26,507,439,224,122,27,3,61,13,26.0,19.5,115.49,0.17
Janak Prakash,36,506,408,154,164,46,2,31,20,26.0,19.46,124.02,0.12
Ayasha Rahman,35,505,654,406,192,28,1,47,11,33.0,15.3,77.22,0.09
C de Grandhomme,38,505,366,141,155,28,2,27,30,31.0,16.29,137.98,0.16
OJ Hairs,28,504,304,139,86,16,0,47,33,25.0,20.16,165.79,0.26
Sharmin Akhter,25,504,594,297,234,36,2,45,2,21.0,24.0,84.85,0.08
GR Adair,21,503,361,185,90,25,1,48,28,21.0,23.95,139.34,0.21
W Niyitanga,41,501,607,354,188,36,5,28,19,36.0,13.92,82.54,0.08
J Rasu,29,500,456,203,171,37,5,36,16,25.0,20.0,109.65,0.11
V Sibanda,25,498,482,249,153,28,5,52,11,24.0,20.75,103.32,0.13
Muhammad Amir,41,495,481,235,187,26,0,49,10,34.0,14.56,102.91,0.12
Imran Nazir,23,495,363,192,82,20,3,58,22,20.0,24.75,136.36,0.22
Shamim Hossain,32,495,398,169,146,30,3,43,18,24.0,20.62,124.37,0.15
Nurul Hasan,46,494,428,161,194,36,2,27,19,29.0,17.03,115.42,0.11
V Ganesan,32,492,468,213,170,56,0,51,1,23.0,21.39,105.13,0.11
RA Sealy,28,492,391,174,131,32,3,36,24,27.0,18.22,125.83,0.15
TP Visee,30,491,335,169,75,23,0,67,17,27.0,18.19,146.57,0.25
B Niaz,24,490,397,208,134,18,0,41,26,20.0,24.5,123.43,0.17
MPGT Ketiyage,20,489,390,215,117,30,0,33,30,18.0,27.17,125.38,0.16
DJ Hawoe,60,489,386,187,121,46,0,30,26,45.0,10.87,126.68,0.15
V Krishnamurthy,37,489,450,196,178,39,1,47,7,26.0,18.81,108.67,0.12
MJ Clarke,28,488,473,198,201,45,7,29,10,22.0,22.18,103.17,0.08
Salman Butt,21,488,447,215,162,26,2,58,6,19.0,25.68,109.17,0.14
R Bakum,32,486,446,239,129,42,3,36,20,29.0,16.76,108.97,0.13
Talha Khan,26,486,470,226,160,45,3,39,11,22.0,22.09,103.4,0.11
MO Kitunda,39,485,511,279,152,40,1,40,15,36.0,13.47,94.91,0.11
OGL Bascome,28,485,358,177,103,22,0,35,33,25.0,19.4,135.47,0.19
I Niyomugabo,24,485,488,242,188,27,3,48,7,18.0,26.94,99.39,0.11
PW Borren,28,485,375,151,131,33,2,51,13,23.0,21.09,129.33,0.17
ND Laegsgaard,25,484,325,151,101,18,3,41,29,20.0,24.2,148.92,0.22
S Jora,31,484,398,163,154,44,2,26,22,24.0,20.17,121.61,0.12
M Gorases,54,484,724,431,215,58,3,36,0,44.0,11.0,66.85,0.05
J Mosca,23,483,341,133,116,23,3,54,16,17.0,28.41,141.64,0.21
LM Jongwe,43,483,396,161,147,39,2,42,14,27.0,17.89,121.97,0.14
JDP Oram,30,482,343,124,138,27,0,38,23,24.0,20.08,140.52,0.18
J Nkomo,39,481,534,270,200,55,3,36,3,21.0,22.9,90.07,0.07
N Dickwella,26,480,366,159,113,29,2,61,9,25.0,19.2,131.15,0.19
Shafina Mahesh,44,480,729,518,222,42,4,36,3,33.0,14.55,65.84,0.05
LE Kaushalya,36,480,450,189,197,35,1,39,9,30.0,16.0,106.67,0.11
Aminata Kamara,32,480,524,300,163,58,7,45,0,25.0,19.2,91.6,0.09
L Piety,23,480,419,229,113,21,1,61,13,14.0,34.29,114.56,0.18
A Limdawala,30,479,532,307,154,39,3,40,13,29.0,16.52,90.04,0.1
Nain Abidi,34,478,631,332,238,44,8,32,0,27.0,17.7,75.75,0.05
D Wangmo,28,478,647,396,189,64,7,32,2,21.0,22.76,73.88,0.05
SW Billings,33,478,368,139,145,35,1,41,16,27.0,17.7,129.89,0.15
Karan KC,47,478,310,128,112,18,2,21,40,30.0,15.93,154.19,0.2
M Campopiano,22,477,400,168,146,41,3,39,14,16.0,29.81,119.25,0.13
MB Kruger,29,475,436,220,141,19,2,50,15,27.0,17.59,108.94,0.15
GJ Bailey,26,475,347,124,133,34,2,37,20,17.0,27.94,136.89,0.16
G Voll,12,474,303,114,97,33,1,62,10,11.0,43.09,156.44,0.24
Imal Zuwak,22,474,435,216,143,34,1,47,12,20.0,23.7,108.97,0.14
L Lamin,36,473,501,276,158,36,1,30,20,25.0,18.92,94.41,0.1
Habib Khan,19,473,370,185,116,24,1,39,25,19.0,24.89,127.84,0.17
K Mishara,21,473,361,164,123,25,0,45,20,19.0,24.89,131.02,0.18
RR Seth,41,473,685,434,197,47,0,41,3,34.0,13.91,69.05,0.06
Hammad Mirza,26,472,438,205,158,26,6,40,14,23.0,20.52,107.76,0.12
